               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.031595,            0.023479,           0.0043358,             0.92971,             0.50764,             0.63761,             0.38197,            0.031397,            0.015464,           0.0070649,            0.009571,            0.009571,            0.009571
                 132,            0.032291,            0.023596,           0.0046496,             0.80619,             0.53956,             0.64136,             0.37403,            0.032938,             0.01568,           0.0058231,           0.0095677,           0.0095677,           0.0095677
                 133,            0.032824,            0.023443,           0.0047403,             0.84931,             0.54164,             0.62974,             0.37194,            0.031614,             0.01537,           0.0060127,           0.0095644,           0.0095644,           0.0095644
                 134,            0.031538,            0.023013,           0.0048899,             0.93199,             0.53719,             0.65102,             0.39471,            0.032335,             0.01559,            0.006098,           0.0095611,           0.0095611,           0.0095611
                 135,            0.032166,            0.023883,           0.0043731,             0.85132,             0.55005,             0.63834,             0.36877,            0.032593,            0.015536,           0.0072782,           0.0095578,           0.0095578,           0.0095578
                 136,            0.030947,            0.023083,           0.0044546,              0.7225,              0.6104,             0.64928,             0.38398,            0.031985,            0.015661,            0.005914,           0.0095545,           0.0095545,           0.0095545
                 137,            0.031402,             0.02318,           0.0044324,             0.79297,              0.5272,             0.59003,             0.35541,            0.031625,            0.015415,            0.006418,           0.0095512,           0.0095512,           0.0095512
                 138,            0.032138,            0.023439,           0.0044724,             0.90339,              0.5191,             0.60096,             0.35897,            0.032573,            0.015742,            0.006264,           0.0095479,           0.0095479,           0.0095479
                 139,            0.030571,            0.022914,           0.0041866,             0.88266,             0.58099,             0.66098,             0.40777,             0.03165,            0.015593,           0.0057137,           0.0095446,           0.0095446,           0.0095446
                 140,            0.031728,            0.022652,           0.0043481,             0.68654,              0.5731,             0.61806,             0.37482,            0.032366,            0.015869,           0.0063216,           0.0095413,           0.0095413,           0.0095413
                 141,            0.032094,            0.023509,           0.0045366,             0.82374,             0.59893,              0.6709,             0.40685,            0.031878,            0.015334,           0.0058664,            0.009538,            0.009538,            0.009538
                 142,            0.031217,            0.023895,           0.0042342,              0.7751,             0.61966,             0.64018,             0.38404,            0.032164,            0.015345,           0.0061214,           0.0095347,           0.0095347,           0.0095347
                 143,            0.030658,            0.022028,            0.005182,             0.75538,              0.6302,             0.66624,              0.4012,            0.031542,            0.015512,           0.0061686,           0.0095314,           0.0095314,           0.0095314
                 144,            0.031786,            0.024075,           0.0052582,             0.70355,             0.62949,             0.63516,             0.37037,            0.032264,            0.015746,            0.006003,           0.0095281,           0.0095281,           0.0095281
                 145,            0.031616,            0.023753,           0.0039886,             0.74878,             0.61062,             0.67205,             0.41019,            0.031428,            0.015554,            0.005823,           0.0095248,           0.0095248,           0.0095248
                 146,            0.031157,             0.02322,           0.0043272,             0.74325,             0.60963,             0.63376,             0.38251,            0.032146,            0.015406,           0.0060808,           0.0095215,           0.0095215,           0.0095215
                 147,            0.030485,            0.022265,           0.0041227,             0.87713,             0.54526,             0.64646,              0.3829,            0.032243,            0.015598,            0.006132,           0.0095182,           0.0095182,           0.0095182
                 148,            0.030743,            0.021992,           0.0044557,             0.66376,             0.69729,             0.69418,             0.40972,            0.031955,            0.015747,           0.0053605,           0.0095149,           0.0095149,           0.0095149
                 149,            0.031187,            0.023023,           0.0040966,             0.84805,              0.5598,             0.63522,             0.38415,            0.031669,            0.015688,           0.0061759,           0.0095116,           0.0095116,           0.0095116
                 150,            0.031546,            0.024135,           0.0045229,             0.77663,             0.58161,             0.65982,             0.39319,            0.032115,            0.015646,            0.005844,           0.0095083,           0.0095083,           0.0095083
                 151,            0.030476,            0.023001,           0.0040989,             0.83594,             0.50954,             0.60594,             0.35676,            0.032708,            0.015772,           0.0068032,            0.009505,            0.009505,            0.009505
                 152,            0.031862,            0.022235,           0.0042825,             0.90131,             0.61266,             0.68288,             0.41434,             0.03184,             0.01547,           0.0056866,           0.0095017,           0.0095017,           0.0095017
